"link","provider","rating"
"https://www.classcentral.com/course/swayam-sr-secondary-history-315-17806","NIOS","Sr.Secondary : History (315) from NIOS"
"https://www.classcentral.com/course/swayam-sr-secondary-home-science-321-17807","NIOS","Sr.Secondary : Home Science (321) from NIOS"
"https://www.classcentral.com/course/swayam-sr-secondary-sanskrit-309-17811","NIOS","Sr.Secondary : Sanskrit (309) from NIOS"
"https://www.classcentral.com/course/swayam-sr-secondary-english-302-17804","NIOS","Sr.Secondary : English (302) from NIOS"
"https://www.classcentral.com/course/swayam-sr-secondary-hindi-301-17805","NIOS","Sr.Secondary : Hindi (301) from NIOS"
"https://www.classcentral.com/course/swayam-secondary-bhartiya-darshan-247-17766","NIOS","Secondary : Bhartiya Darshan (247) from NIOS"
"https://www.classcentral.com/course/swayam-urdu-language-script-learning-17833","NCERT","Urdu Language Script Learning from NCERT"
"https://www.classcentral.com/course/swayam-sr-secondary-library-information-science-339-17799","NIOS","Sr. Secondary : Library & Information Science (339) from NIOS"
"https://www.classcentral.com/course/swayam-secondary-veda-adhyayan-245-17782","NIOS","Secondary : Veda Adhyayan (245) from NIOS"
"https://www.classcentral.com/course/swayam-secondary-english-202-17770","NIOS","Secondary : English (202) from NIOS"
"https://www.classcentral.com/course/swayam-secondary-sanskrit-viyakaran-246-17779","NIOS","Secondary : Sanskrit Viyakaran (246) from NIOS"
"https://www.classcentral.com/course/swayam-secondary-hindi-201-17771","NIOS","Secondary : Hindi (201) from NIOS"
"https://www.classcentral.com/course/swayam-secondary-home-science-216-17772","NIOS","Secondary : Home Science (216) from NIOS"
"https://www.classcentral.com/course/swayam-secondary-indian-culture-heritage-223-17773","NIOS","Secondary : Indian Culture & Heritage (223) from NIOS"
"https://www.classcentral.com/course/swayam-secondary-sanskrit-209-17777","NIOS","Secondary : Sanskrit (209) from NIOS"
"https://www.classcentral.com/course/swayam-secondary-sanskrit-sahitya-248-17778","NIOS","Secondary : Sanskrit Sahitya (248) from NIOS"
"https://www.classcentral.com/course/swayam-digital-marketing-14006","UGC","Digital Marketing from UGC ★★★★★(117)"
